 1,        1, -795755684
 1,        1, 581869302
 2,        2, -795755684
 2,        2, 581869302
 0,        0, -795755684
 0,        0, 581869302
 1,        1, -404620562
 1,        1, -708632711
 1,        1, 545404204
 1,        1, -133711905
 1,        1, -372047867
 1,        1, 949333985
 1,        1, -1579004998
 1,        1, 1323567403
 2,        2, -404620562
 2,        2, -708632711
 2,        2, 545404204
 2,        2, -133711905
 2,        2, -372047867
 2,        2, 949333985
 2,        2, -1579004998
 2,        2, 1323567403
 2,        2, 418932835
 2,        2, -1944672731
 2,        2, 1196140740
 2,        2, 809094426
 2,        2, -1946129057
 2,        2, -30574576
 2,        2, -182506777
 2,        2, -15198492
 2,        2, -150802599
 2,        2, -138749190
 2,        2, 676943009
 2,        2, -1177512687
 0,        0, -404620562
 0,        0, -708632711
 0,        0, 545404204
 0,        0, -133711905
 0,        0, -372047867
 0,        0, 949333985
 0,        0, -1579004998
 0,        0, 1323567403
 0,        0, 418932835
 0,        0, -1944672731
 0,        0, 1196140740
 0,        0, 809094426
 0,        0, -1946129057
 0,        0, -30574576
 0,        0, -182506777
 0,        0, -15198492
 1,        1, 418932835
 1,        1, -1944672731
 1,        1, 1196140740
 1,        1, 809094426
 1,        1, -1946129057
 1,        1, -30574576
 1,        1, -182506777
 1,        1, -15198492
 1,        1, -150802599
 1,        1, -138749190
 1,        1, 676943009
 1,        1, -1177512687
 1,        1, -126303053
 1,        1, -81133257
 1,        1, -183966550
 1,        1, 471852626
 1,        1, 2084672536
 1,        1, -867128743
 1,        1, -857788836
 1,        1, 1275731771
 1,        1, 609397212
 1,        1, 20544909
 1,        1, 1811450929
 1,        1, 483031418
 1,        1, -361913170
 1,        1, -1547204601
 1,        1, -892462743
 1,        1, -522136403
 1,        1, -173978709
 1,        1, -2131752568
 2,        2, -126303053
 2,        2, -81133257
 2,        2, -183966550
 2,        2, 471852626
 2,        2, 2084672536
 2,        2, -867128743
 2,        2, -857788836
 2,        2, 1275731771
 2,        2, 609397212
 2,        2, 20544909
 2,        2, 1811450929
 2,        2, 483031418
 2,        2, -361913170
 2,        2, -1547204601
 2,        2, -892462743
 2,        2, -522136403
 2,        2, -173978709
 2,        2, -2131752568
 2,        2, -1478582452
 2,        2, -867889990
 2,        2, 153380495
 2,        2, 1551745920
 2,        2, -647984699
 2,        2, 910208076
 2,        2, -283496851
 2,        2, -1368550362
 2,        2, -1379821989
 2,        2, 1712568902
 2,        2, -1040498238
 2,        2, -1113911603
 0,        0, -150802599
 0,        0, -138749190
 0,        0, 676943009
 0,        0, -1177512687
